angle,action,timestamp
1,released,1489796929.767876
1,pressed,1489796930.001271
1,released,1489796930.191609
-1,pressed,1489796931.555753
-1,released,1489796931.641041
1,pressed,1489796932.362732
1,released,1489796932.459691
1,pressed,1489796933.334053
1,released,1489796933.58127
1,pressed,1489796933.7036
1,released,1489796934.503684
1,pressed,1489796934.929017
1,released,1489796935.075127
1,pressed,1489796935.188002
1,released,1489796935.521721
1,pressed,1489796935.965643
1,released,1489796936.638558
1,pressed,1489796936.911315
1,released,1489796937.132457
1,pressed,1489796937.16
1,released,1489796937.669701
-1,pressed,1489796937.866428
-1,released,1489796937.965248
-1,pressed,1489796938.454949
-1,released,1489796938.598404
-1,pressed,1489796938.762385
-1,released,1489796939.152871
1,pressed,1489796939.46478
1,released,1489796939.580778
1,pressed,1489796940.171125
1,released,1489796940.582478
1,pressed,1489796940.750185
1,released,1489796941.488724
1,pressed,1489796941.983618
1,released,1489796942.382166
1,pressed,1489796942.902444
1,released,1489796943.075348
1,pressed,1489796943.195973
1,released,1489796943.374954
1,pressed,1489796943.542611
1,released,1489796944.345435
1,pressed,1489796944.710929
1,released,1489796944.913358
1,pressed,1489796945.346406
1,released,1489796945.444974
-1,pressed,1489796945.971713
-1,released,1489796946.028383
1,pressed,1489796946.478088
1,released,1489796946.558243
-1,pressed,1489796946.965797
-1,released,1489796947.041621
1,pressed,1489796947.723502
1,released,1489796947.872513
1,pressed,1489796948.048549
1,released,1489796948.366568
1,pressed,1489796948.585029
1,released,1489796948.882686
1,pressed,1489796949.130424
1,released,1489796949.651947
1,pressed,1489796949.884691
1,released,1489796950.068216
1,pressed,1489796950.456762
1,released,1489796950.610849
1,pressed,1489796950.768473
1,released,1489796951.381428
1,pressed,1489796951.592249
1,released,1489796951.796488
1,pressed,1489796951.971846
1,released,1489796952.58305
-1,pressed,1489796952.87408
-1,released,1489796952.95914
-1,pressed,1489796953.382622
-1,released,1489796953.729989
-1,pressed,1489796953.981376
-1,released,1489796954.221451
1,pressed,1489796954.601313
1,released,1489796954.769929
1,pressed,1489796955.245845
1,released,1489796955.599977
1,pressed,1489796955.885042
1,released,1489796956.835866
1,pressed,1489796957.272195
1,released,1489796957.494791
1,pressed,1489796957.903881
1,released,1489796958.226036
1,pressed,1489796958.451401
1,released,1489796959.279912
1,pressed,1489796959.717851
1,released,1489796960.131206
-1,pressed,1489796960.451967
-1,released,1489796960.532513
-1,pressed,1489796961.655898
-1,released,1489796961.732178
1,pressed,1489796962.686549
1,released,1489796962.801177
1,pressed,1489796963.398083
1,released,1489796963.631213
1,pressed,1489796963.905387
1,released,1489796964.886206
1,pressed,1489796965.168751
1,released,1489796965.592914
1,pressed,1489796966.060464
1,released,1489796966.257521
1,pressed,1489796966.597926
1,released,1489796967.669159
-1,pressed,1489796968.471372
-1,released,1489796968.615705
-1,pressed,1489796968.865192
-1,released,1489796969.26295
-1,pressed,1489796969.641502
-1,released,1489796969.75679
1,pressed,1489796970.271336
1,released,1489796970.625998
1,pressed,1489796970.851639
1,released,1489796971.859616
1,pressed,1489796972.241592
1,released,1489796972.481834
1,pressed,1489796972.839275
1,released,1489796973.053594
1,pressed,1489796973.359276
1,released,1489796974.181248
1,pressed,1489796974.455176
1,released,1489796974.883666
1,pressed,1489796975.160072
1,released,1489796975.349774
-1,pressed,1489796975.802058
-1,released,1489796975.919721
1,pressed,1489796976.162248
1,released,1489796976.281794
-1,pressed,1489796976.614461
-1,released,1489796976.673006
1,pressed,1489796977.299076
1,released,1489796977.384225
-1,pressed,1489796977.715771
-1,released,1489796977.83667
1,pressed,1489796978.173009
1,released,1489796978.255467
1,pressed,1489796978.718822
1,released,1489796978.841429
1,pressed,1489796979.130221
1,released,1489796980.268474
1,pressed,1489796980.533271
1,released,1489796980.754562
1,pressed,1489796980.955034
1,released,1489796981.275829
1,pressed,1489796981.470274
1,released,1489796981.798472
1,pressed,1489796982.257004
1,released,1489796982.434349
1,pressed,1489796982.621119
1,released,1489796983.232859
1,pressed,1489796983.396126
1,released,1489796983.641689
-1,pressed,1489796983.928303
-1,released,1489796984.225751
-1,pressed,1489796984.421583
-1,released,1489796984.94952
1,pressed,1489796985.715603
1,released,1489796986.068075
1,pressed,1489796986.247974
1,released,1489796986.477885
1,pressed,1489796986.647377
1,released,1489796987.56586
1,pressed,1489796987.982359
1,released,1489796988.14889
1,pressed,1489796988.304036
1,released,1489796988.46682
1,pressed,1489796988.573377
1,released,1489796988.707009
1,pressed,1489796989.159876
1,released,1489796990.168391
1,pressed,1489796990.402894
1,released,1489796990.719518
-1,pressed,1489796991.061714
-1,released,1489796991.138518
1,pressed,1489796991.467143
1,released,1489796991.567007
-1,pressed,1489796992.30063
-1,released,1489796992.381628
1,pressed,1489796992.907369
1,released,1489796992.982967
1,pressed,1489796994.150805
1,released,1489796994.314174
1,pressed,1489796994.637594
1,released,1489796995.708797
1,pressed,1489796996.22451
1,released,1489796996.393591
1,pressed,1489796996.614046
1,released,1489796997.410153
1,pressed,1489796997.781441
1,released,1489796997.960646
1,pressed,1489796998.128981
1,released,1489796998.651555
1,pressed,1489796998.789762
1,released,1489796998.950721
-1,pressed,1489796999.124315
-1,released,1489796999.6111
-1,pressed,1489796999.732631
-1,released,1489797000.064368
1,pressed,1489797000.831725
1,released,1489797000.96666
1,pressed,1489797001.405618
1,released,1489797001.578189
1,pressed,1489797001.665991
1,released,1489797001.804713
1,pressed,1489797001.886065
1,released,1489797002.811113
1,pressed,1489797003.271162
1,released,1489797003.437506
1,pressed,1489797003.481727
1,released,1489797003.601632
0,released,1489797003.701355
